postcode,nonsub_old,nonsub_new,number_of_room
00790,17.8,18.5,2
00790,14.7,15.4,3+
02280,22.9,27.6,1
02280,16.3,17.9,2
02280,12.2,15.5,3+
00200,24.1,26.4,1
00200,18.5,20.6,2
00200,17.0,17.1,3+
02110,21.2,23.0,1
02110,15.9,17.1,2
02110,16.1,,3+
00620,19.7,25.2,1
00620,16.9,15.6,2
00620,14.0,15.3,3+
00440,22.2,22.1,1
00440,17.0,18.4,2
00440,13.8,13.4,3+
01680,,,2
01680,,,3+
00600,17.8,17.0,1
00600,13.6,14.2,2
00600,12.0,,3+
00350,24.1,25.4,1
00350,17.1,18.4,2
00350,15.6,17.7,3+
00870,19.3,19.8,1
00870,16.8,18.3,2
00870,14.2,14.0,3+
00730,21.1,23.8,1
00730,15.5,15.9,2
00730,13.0,13.6,3+
02340,,,2
02340,13.6,,3+
02270,14.8,,2
02270,,17.5,3+
01610,22.7,24.1,1
01610,16.6,18.0,2
01610,14.9,16.1,3+
02970,,,2
02970,10.8,9.2,3+
02620,18.7,21.9,1
02620,16.0,17.0,2
02620,15.2,16.1,3+
00260,27.0,27.7,1
00260,19.8,19.9,2
00260,13.1,9.9,3+
00130,25.6,27.0,1
00130,17.9,19.7,2
00130,22.9,13.9,3+
01260,19.9,,1
01260,13.5,14.5,2
01260,14.7,12.6,3+
01690,,,1
01690,9.6,,2
01690,13.0,,3+
00960,20.5,23.8,1
00960,15.4,16.2,2
00960,14.7,15.1,3+
00880,21.2,18.4,1
00880,17.6,15.3,2
00880,13.4,14.5,3+
00680,22.8,16.2,1
00680,12.1,,2
00680,10.3,,3+
00120,26.5,29.5,1
00120,20.9,20.7,2
00120,15.7,20.1,3+
00900,21.7,22.0,1
00900,15.9,17.7,2
00900,16.1,17.1,3+
01670,20.6,,1
01670,13.8,16.9,2
01670,,,3+
00830,23.8,23.8,1
00830,15.6,,2
00830,14.6,9.6,3+
00910,20.1,22.7,1
00910,16.1,17.7,2
00910,13.9,14.4,3+
00630,19.6,22.3,1
00630,14.4,14.7,2
00630,12.3,13.3,3+
00690,19.4,,2
00690,12.2,,3+
00890,8.8,,3+
01420,,,2
01420,18.3,,3+
01230,21.0,21.3,1
01230,13.3,,2
01230,13.5,,3+
00220,21.1,25.0,1
00220,19.2,20.3,2
00220,15.2,17.9,3+
00670,12.0,,2
00670,13.7,,3+
00360,24.1,24.9,1
00360,18.7,17.2,2
00360,15.4,,3+
00400,24.1,25.3,1
00400,16.3,16.5,2
00400,13.5,13.3,3+
01640,22.5,22.5,1
01640,17.1,18.6,2
01640,15.4,16.9,3+
00820,20.7,20.5,1
00820,16.5,17.8,2
00820,14.7,14.4,3+
00310,21.9,25.1,1
00310,18.0,,2
00310,,,3+
02300,,,2
02300,,,3+
01530,20.9,21.1,1
01530,19.7,18.9,2
01530,16.8,15.9,3+
